user_id,gender,age_group,top_genre,subscription_plan,payment_method,auto_renewal_enabled,previous_subscription_plan,device_type,network_type,buffering_time_avg,is_churned
55,Female,36-45,Pop,Family,Card,No,Free,Android,4G,3.66,No
56,Female,26-35,Rock,Free,Auto-Debit,Yes,Free,Android,4G,1.84,No
57,Male ,26-35,Pop,Family,Card,No,Free,Android,5G,0.7,Yes
58,Female,18-25,Pop,Free,Card,No,Premium,Web,4G,2.03,Yes
59,Male ,18-25,EDM,Premium,UPI,No,Free,Web,WiFi,4.99,Yes
60,Female,18-25,Rock,Premium,Wallet,No,Free,Web,WiFi,1.79,No
61,Female,26-35,Classical,Premium,Wallet,No,Free,Android,5G,1.39,No
62,Female,18-25,HipHop,Free,Card,No,Family,Web,4G,4.23,Yes
63,Male ,26-35,EDM,Premium,UPI,Yes,Free,iOS,4G,4.34,No
64,Male ,26-35,Pop,Free,UPI,No,Free,iOS,4G,1.69,No
65,Male ,46+,HipHop,Free,Card,Yes,Premium,iOS,4G,1.49,Yes
66,Male ,18-25,Pop,Family,Card,Yes,Free,iOS,5G,3.24,No
67,Male ,18-25,Rock,Premium,Wallet,No,Free,Web,WiFi,1.03,Yes
68,Male ,18-25,Pop,Family,Wallet,Yes,Premium,Web,WiFi,2.42,No
69,Male ,18-25,Pop,Free,Wallet,Yes,Free,iOS,WiFi,0.71,Yes
70,Female,18-25,Classical,Family,Card,Yes,Free,Android,4G,1.52,No
71,Female,46+,EDM,Premium,Wallet,Yes,Family,iOS,4G,1.49,No
72,Female,46+,Rock,Free,UPI,No,Family,iOS,4G,3.47,Yes
73,Female,26-35,HipHop,Family,Auto-Debit,Yes,Free,Android,4G,1.41,Yes
74,Female,46+,HipHop,Premium,Auto-Debit,No,Family,Android,WiFi,4.49,No
75,Female,46+,Pop,Free,Auto-Debit,No,Free,Web,WiFi,4.92,No
76,Female,36-45,Jazz,Family,UPI,Yes,Family,Android,5G,0.41,No
77,Female,18-25,EDM,Free,Auto-Debit,Yes,Free,Android,5G,1.99,No
78,Male ,26-35,Classical,Premium,Card,Yes,Family,Web,WiFi,1.51,Yes
79,Male ,36-45,Classical,Free,Card,Yes,Free,Web,WiFi,1.76,No
80,Male ,36-45,Jazz,Premium,Auto-Debit,No,Free,iOS,WiFi,1.33,Yes
81,Female,46+,HipHop,Free,Auto-Debit,Yes,Free,iOS,WiFi,1.91,No
82,Male ,26-35,Classical,Free,Wallet,Yes,Free,Android,WiFi,0.71,No
83,Male ,46+,HipHop,Free,UPI,No,Free,Web,WiFi,1.4,No
84,Male ,36-45,EDM,Family,Wallet,No,Free,Android,4G,3.74,Yes
85,Male ,36-45,Jazz,Family,UPI,No,Free,Android,4G,1.72,No
86,Male ,36-45,Pop,Family,Wallet,No,Free,iOS,5G,1.04,No
87,Female,18-25,HipHop,Free,Card,Yes,Free,Android,4G,0.54,No
88,Female,26-35,EDM,Family,UPI,Yes,Premium,Android,5G,1.74,No
89,Male ,18-25,Jazz,Family,Auto-Debit,No,Family,Android,WiFi,3.22,No
90,Male ,18-25,HipHop,Premium,UPI,Yes,Free,Android,5G,1.27,No
91,Male ,18-25,Rock,Free,UPI,No,Premium,Android,4G,2.11,Yes
92,Male ,18-25,HipHop,Family,Wallet,Yes,Free,Android,4G,4.76,No
93,Male ,18-25,EDM,Premium,Auto-Debit,No,Free,Android,WiFi,2.76,No
94,Male ,46+,Classical,Free,Wallet,No,Premium,Web,4G,2.66,No
95,Female,26-35,HipHop,Premium,Auto-Debit,No,Free,iOS,WiFi,2.05,No
96,Female,46+,Pop,Family,Wallet,Yes,Free,iOS,4G,2.78,No
97,Female,46+,EDM,Free,Auto-Debit,Yes,Free,iOS,WiFi,4.92,No
98,Female,36-45,Classical,Free,UPI,Yes,Free,Android,5G,1.27,No
99,Male ,18-25,EDM,Family,Card,Yes,Family,iOS,5G,4.71,Yes
100,Male ,46+,HipHop,Premium,Auto-Debit,Yes,Free,Web,WiFi,0.75,Yes
101,Male ,18-25,Rock,Free,Wallet,No,Free,Web,5G,0.56,Yes
102,Female,18-25,Rock,Free,UPI,No,Free,Web,4G,3.27,No
103,Female,18-25,Rock,Free,Wallet,No,Free,iOS,WiFi,1.26,No
104,Male ,26-35,Rock,Family,UPI,No,Family,Web,5G,2.22,No
105,Male ,46+,Rock,Premium,UPI,No,Family,Web,5G,3.65,No
106,Male ,18-25,Pop,Family,Auto-Debit,No,Family,Android,4G,2.67,Yes
107,Male ,18-25,Classical,Free,Wallet,No,Premium,iOS,5G,0.07,No
108,Male ,18-25,Rock,Premium,UPI,No,Premium,iOS,5G,1.53,No
109,Male ,46+,HipHop,Premium,Wallet,Yes,Family,Web,WiFi,0.32,Yes
110,Female,36-45,EDM,Family,UPI,Yes,Premium,Android,4G,4.63,Yes
111,Female,18-25,EDM,Family,Auto-Debit,Yes,Family,Web,5G,3.97,Yes
112,Female,36-45,Rock,Free,Card,Yes,Free,Android,WiFi,4.92,Yes
113,Female,46+,Rock,Family,Card,Yes,Free,Web,WiFi,4.43,No
114,Female,18-25,EDM,Family,Card,No,Free,Web,WiFi,2.38,No
115,Male ,26-35,Classical,Family,Card,No,Free,iOS,5G,4.41,No
116,Male ,36-45,EDM,Family,Auto-Debit,No,Free,Android,5G,3.36,No
117,Male ,36-45,Pop,Family,Auto-Debit,No,Free,Android,5G,2.62,No
118,Male ,26-35,HipHop,Free,Auto-Debit,Yes,Free,Android,5G,1.85,Yes
119,Male ,46+,Rock,Premium,Wallet,Yes,Family,iOS,5G,3.4,No
120,Male ,18-25,Jazz,Family,UPI,Yes,Family,iOS,WiFi,2.95,No
121,Female,36-45,Rock,Premium,UPI,Yes,Family,Web,4G,3.07,No
122,Male ,46+,Classical,Premium,Card,No,Premium,Android,4G,2,No
123,Male ,18-25,Pop,Family,Card,No,Premium,Android,WiFi,3.7,No
124,Female,36-45,EDM,Family,UPI,No,Premium,Android,WiFi,0.41,Yes
125,Female,46+,Pop,Premium,UPI,No,Family,Android,5G,3.63,Yes
126,Female,46+,Pop,Free,UPI,No,Free,Android,4G,3.65,No
127,Male ,26-35,Classical,Premium,Auto-Debit,No,Premium,Android,5G,2.58,No
128,Female,36-45,Classical,Free,Auto-Debit,Yes,Free,Android,WiFi,1.32,No
129,Male ,18-25,Jazz,Premium,Auto-Debit,No,Premium,Web,4G,2.6,Yes
130,Female,36-45,EDM,Family,Card,Yes,Free,Android,WiFi,0.62,No
131,Female,26-35,Jazz,Free,Auto-Debit,No,Family,Android,WiFi,1.43,No
132,Female,18-25,EDM,Free,UPI,Yes,Family,Android,4G,2.11,Yes
133,Male ,46+,HipHop,Free,Card,Yes,Premium,Android,5G,3.37,Yes
134,Male ,26-35,Pop,Family,Card,Yes,Free,Android,WiFi,0.94,No
135,Male ,18-25,Pop,Free,Auto-Debit,Yes,Family,Android,WiFi,0.79,No
136,Male ,18-25,Pop,Family,Card,No,Family,Web,WiFi,3.04,No
137,Male ,36-45,Pop,Family,UPI,Yes,Family,iOS,5G,3.4,No
138,Male ,46+,Pop,Free,Card,No,Premium,Web,5G,0.42,No
139,Female,26-35,Pop,Family,Wallet,No,Free,iOS,5G,0.17,No
140,Male ,46+,Classical,Family,UPI,Yes,Premium,Web,4G,0.74,No
141,Male ,26-35,EDM,Family,UPI,Yes,Free,iOS,5G,4.51,No
142,Female,36-45,Classical,Free,Auto-Debit,No,Premium,Web,WiFi,3.36,Yes
143,Female,18-25,EDM,Family,UPI,No,Family,Web,WiFi,4.61,No
144,Female,36-45,Classical,Premium,UPI,No,Free,Android,4G,3.32,No
145,Male ,26-35,Classical,Family,Card,Yes,Premium,iOS,5G,4.83,Yes
146,Female,46+,Rock,Premium,Wallet,No,Family,Web,4G,2.19,Yes
147,Male ,18-25,EDM,Free,Card,Yes,Family,iOS,WiFi,3,No
148,Female,26-35,Pop,Premium,Wallet,Yes,Free,Android,5G,3.01,No
149,Female,18-25,Rock,Family,UPI,Yes,Premium,iOS,4G,0.02,Yes
150,Female,18-25,Rock,Family,Card,Yes,Family,Web,5G,0.14,Yes
151,Male ,36-45,Rock,Family,Card,Yes,Free,Android,5G,0.73,No
152,Male ,26-35,Rock,Family,Auto-Debit,Yes,Free,Web,WiFi,2.56,Yes
153,Male ,46+,Pop,Family,Card,No,Free,Android,WiFi,2.15,Yes
154,Male ,36-45,Rock,Family,Wallet,No,Free,Android,WiFi,2.7,No
155,Male ,36-45,Jazz,Free,Wallet,No,Free,Android,4G,4,No
156,Male ,36-45,Pop,Family,UPI,Yes,Free,Android,4G,4.11,Yes
157,Female,26-35,Jazz,Premium,Auto-Debit,No,Free,Android,4G,4.89,No
158,Male ,26-35,Pop,Premium,Auto-Debit,Yes,Free,Android,5G,2.79,No
159,Male ,18-25,Jazz,Premium,Card,No,Premium,Android,5G,1.74,Yes
160,Female,18-25,Rock,Free,UPI,No,Premium,Android,WiFi,1.54,No
161,Female,18-25,HipHop,Premium,Wallet,No,Free,iOS,5G,1.7,No
162,Female,18-25,Pop,Premium,Auto-Debit,No,Free,Android,5G,1.62,No
163,Male ,36-45,Rock,Premium,UPI,Yes,Family,Web,WiFi,1.96,No
164,Female,46+,Classical,Free,Card,No,Free,Android,4G,0.37,No
165,Male ,18-25,Classical,Premium,Auto-Debit,Yes,Family,Web,WiFi,3.17,Yes
166,Female,26-35,EDM,Premium,Card,Yes,Free,iOS,5G,2.84,No
167,Female,18-25,Pop,Free,Wallet,Yes,Premium,iOS,WiFi,2.31,No
168,Female,26-35,Pop,Family,Wallet,Yes,Premium,Android,5G,0.41,Yes
169,Male ,46+,Jazz,Premium,UPI,No,Family,iOS,WiFi,0.47,Yes
170,Male ,36-45,Classical,Family,Card,No,Free,iOS,5G,2.73,No
171,Male ,46+,Pop,Premium,UPI,Yes,Free,Android,5G,0.18,No
172,Male ,46+,Pop,Free,Wallet,No,Free,Web,WiFi,3.62,Yes
173,Male ,36-45,Classical,Family,Auto-Debit,No,Family,Android,5G,4.97,No
174,Male ,26-35,Classical,Free,Wallet,Yes,Free,Android,5G,2.99,Yes
175,Female,46+,Classical,Family,UPI,Yes,Premium,Web,5G,3.62,No
176,Male ,36-45,Classical,Free,Card,No,Free,iOS,WiFi,2.19,Yes
177,Male ,26-35,HipHop,Family,Wallet,No,Premium,Android,4G,3.34,No
178,Female,26-35,Classical,Family,UPI,No,Free,Android,4G,3.26,No
179,Female,26-35,Jazz,Family,Card,No,Free,Web,WiFi,4.12,No
180,Female,36-45,Classical,Premium,UPI,Yes,Free,Android,WiFi,3.56,Yes
181,Male ,18-25,Jazz,Family,Wallet,No,Free,Web,4G,3.75,No
182,Female,36-45,Rock,Family,Card,No,Free,Android,WiFi,2.78,Yes
183,Male ,46+,Classical,Premium,Wallet,Yes,Premium,Android,5G,2.42,No
184,Female,36-45,Classical,Premium,Wallet,No,Family,Web,WiFi,2.29,No
185,Female,36-45,Rock,Free,Wallet,Yes,Free,Web,4G,1.96,Yes
186,Female,46+,Classical,Free,Wallet,Yes,Family,Android,5G,1.33,No
187,Male ,36-45,Rock,Premium,Wallet,No,Family,Android,4G,0.17,No
188,Male ,36-45,HipHop,Free,UPI,No,Free,Android,4G,3.36,No
189,Male ,46+,Rock,Premium,Auto-Debit,Yes,Free,Android,5G,4.5,No
190,Male ,18-25,Pop,Free,Auto-Debit,No,Free,Android,4G,4.65,Yes
191,Male ,18-25,Pop,Premium,Wallet,No,Free,Android,4G,2.9,Yes
192,Male ,26-35,Jazz,Free,Wallet,No,Premium,Android,4G,0.47,No
193,Female,18-25,Rock,Premium,Wallet,No,Free,Android,4G,4.39,No
194,Male ,36-45,Classical,Free,Card,Yes,Premium,Android,WiFi,3.74,No
195,Male ,46+,EDM,Free,Wallet,Yes,Free,Android,4G,1.26,No
196,Female,26-35,EDM,Family,Card,No,Family,iOS,WiFi,4.02,No
197,Female,36-45,HipHop,Free,UPI,No,Free,iOS,4G,2.36,No
198,Female,26-35,HipHop,Free,Auto-Debit,Yes,Premium,iOS,4G,4.44,No
199,Male ,46+,HipHop,Premium,Wallet,No,Free,Web,WiFi,1.24,No
200,Female,18-25,HipHop,Family,Auto-Debit,No,Free,Android,5G,4,No
201,Male ,18-25,HipHop,Free,UPI,No,Family,iOS,5G,3.56,No
202,Female,18-25,HipHop,Family,Auto-Debit,Yes,Family,iOS,5G,0.07,Yes
203,Female,18-25,Pop,Free,UPI,No,Premium,Android,4G,2.82,Yes
204,Female,26-35,HipHop,Premium,Wallet,Yes,Free,iOS,5G,3.58,No
205,Male ,18-25,Jazz,Free,UPI,Yes,Free,iOS,4G,0.78,No
206,Male ,18-25,HipHop,Free,Wallet,No,Family,Android,4G,2.66,Yes
207,Male ,46+,Pop,Free,Auto-Debit,Yes,Premium,Android,5G,1.52,Yes
208,Male ,18-25,HipHop,Family,UPI,Yes,Free,Web,WiFi,3.48,No
209,Male ,26-35,EDM,Family,Card,No,Premium,Android,WiFi,2.7,Yes
210,Male ,18-25,HipHop,Premium,Card,Yes,Premium,iOS,WiFi,3.11,Yes
211,Female,18-25,Pop,Family,Card,Yes,Premium,Android,WiFi,0.36,No
212,Male ,26-35,HipHop,Family,Wallet,No,Family,Android,5G,0.69,No
213,Male ,46+,Jazz,Family,UPI,Yes,Family,iOS,5G,2.76,No
214,Female,46+,Jazz,Premium,Card,No,Free,Android,5G,0.91,Yes
215,Female,26-35,Jazz,Free,Wallet,Yes,Premium,Web,5G,2.49,No
216,Female,36-45,Jazz,Premium,Card,No,Premium,Android,WiFi,3.45,Yes
217,Male ,36-45,EDM,Free,Auto-Debit,No,Premium,Android,4G,4.05,No
218,Female,26-35,Jazz,Free,Auto-Debit,Yes,Free,iOS,5G,0.72,No
219,Male ,18-25,Jazz,Premium,Auto-Debit,Yes,Free,Web,5G,3.71,No
220,Female,26-35,Rock,Premium,Card,No,Free,Web,WiFi,1.82,No
221,Female,26-35,Jazz,Free,Wallet,No,Free,Android,WiFi,3.39,No
222,Female,36-45,EDM,Free,Card,No,Free,Web,5G,0.73,No
223,Male ,36-45,Jazz,Family,Wallet,No,Free,iOS,4G,2.58,Yes
224,Male ,26-35,HipHop,Family,Card,Yes,Free,Android,5G,4.19,No
225,Male ,18-25,Jazz,Free,Wallet,Yes,Premium,Web,5G,0.53,Yes
226,Male ,46+,Classical,Family,Card,Yes,Family,iOS,5G,4.14,Yes
227,Male ,26-35,HipHop,Free,UPI,Yes,Premium,iOS,5G,2.26,No
228,Male ,26-35,Jazz,Family,UPI,No,Family,iOS,5G,4.12,No
229,Female,46+,Jazz,Family,Wallet,Yes,Premium,Android,5G,4.79,No
230,Male ,36-45,HipHop,Premium,Auto-Debit,No,Family,iOS,5G,0.8,No
231,Male ,18-25,Pop,Free,Auto-Debit,Yes,Family,iOS,5G,3.37,No
232,Female,36-45,Classical,Free,Auto-Debit,Yes,Free,Android,4G,1.18,No
233,Female,46+,Pop,Family,Wallet,Yes,Premium,Android,4G,0.68,No
234,Female,46+,Jazz,Family,UPI,No,Premium,iOS,WiFi,3.14,No
235,Male ,46+,Pop,Family,Wallet,Yes,Premium,Android,5G,0.54,Yes
236,Female,46+,EDM,Free,Card,Yes,Family,Web,5G,2.33,No
237,Male ,18-25,Rock,Family,Card,Yes,Free,Android,5G,3.18,Yes
238,Female,26-35,HipHop,Family,Card,Yes,Family,iOS,5G,2.5,Yes
239,Female,26-35,Classical,Premium,Card,No,Family,Android,5G,3.49,No
240,Female,46+,HipHop,Free,Card,No,Family,Android,5G,4.01,Yes
241,Male ,18-25,Pop,Premium,Card,Yes,Premium,iOS,5G,4.36,No
242,Male ,46+,Rock,Family,Auto-Debit,No,Premium,iOS,4G,2.8,No
243,Male ,18-25,Pop,Family,Auto-Debit,No,Premium,Android,4G,1.38,No
244,Male ,26-35,HipHop,Free,Card,No,Free,Android,4G,2.55,No
245,Male ,18-25,EDM,Premium,Wallet,Yes,Premium,Android,4G,1.94,Yes
246,Male ,26-35,HipHop,Family,UPI,Yes,Free,iOS,4G,1.13,No
247,Female,18-25,Pop,Free,Card,No,Premium,Web,WiFi,2.65,No
248,Male ,36-45,Pop,Family,Card,No,Free,Android,5G,0.11,No
249,Male ,18-25,Pop,Free,Wallet,Yes,Premium,iOS,4G,3.03,No
250,Female,46+,Pop,Family,Auto-Debit,Yes,Premium,Android,WiFi,4.11,No
251,Female,18-25,Pop,Family,Wallet,No,Family,Web,5G,5,Yes
252,Female,18-25,Pop,Free,UPI,No,Free,Web,4G,4.61,No
253,Male ,18-25,Jazz,Free,UPI,No,Premium,Web,WiFi,0.45,No
254,Female,18-25,Rock,Family,Wallet,Yes,Family,iOS,4G,0.81,No
255,Male ,18-25,Rock,Free,Card,Yes,Free,Web,4G,0.69,Yes
256,Female,18-25,EDM,Family,Auto-Debit,No,Premium,iOS,5G,2.79,No
257,Female,36-45,Classical,Family,Card,No,Premium,iOS,WiFi,0.23,No
258,Female,18-25,Pop,Premium,Card,No,Premium,iOS,5G,4.68,No
259,Male ,46+,Pop,Family,Card,Yes,Family,iOS,4G,0.31,No
260,Male ,18-25,HipHop,Family,Card,Yes,Free,iOS,4G,1.96,Yes
261,Male ,18-25,Classical,Free,Auto-Debit,No,Free,iOS,4G,4.47,No
262,Male ,18-25,Pop,Free,Wallet,Yes,Free,Web,5G,4.74,No
263,Male ,18-25,Jazz,Free,UPI,Yes,Free,iOS,4G,2.33,Yes
264,Male ,18-25,EDM,Free,UPI,Yes,Free,Android,WiFi,2.44,No
265,Male ,46+,Pop,Family,Auto-Debit,Yes,Free,Android,4G,3.18,No
266,Male ,46+,Jazz,Family,Wallet,No,Free,Android,5G,2.04,No
267,Male ,18-25,Jazz,Family,Auto-Debit,Yes,Premium,Web,4G,1.62,No
268,Male ,26-35,EDM,Free,Card,No,Family,iOS,WiFi,3.7,No
269,Male ,26-35,Classical,Free,Auto-Debit,No,Free,Web,WiFi,2.98,No
270,Male ,46+,HipHop,Family,Wallet,No,Family,Web,5G,2.41,Yes
271,Female,26-35,HipHop,Free,UPI,Yes,Family,iOS,4G,0.5,No
272,Female,18-25,Rock,Premium,Auto-Debit,Yes,Family,Web,5G,0.34,No
273,Female,46+,Classical,Premium,UPI,No,Free,iOS,WiFi,2.55,No
274,Female,46+,Pop,Premium,UPI,No,Family,iOS,5G,3.1,No
275,Female,18-25,HipHop,Free,UPI,No,Family,iOS,4G,3.29,No
276,Male ,18-25,Jazz,Premium,Wallet,No,Premium,Android,4G,4.47,No
277,Male ,18-25,EDM,Family,Card,Yes,Free,iOS,4G,4.08,No
278,Male ,36-45,Jazz,Family,Card,Yes,Free,iOS,4G,0.7,No
279,Male ,26-35,EDM,Family,Wallet,Yes,Free,Web,4G,3.97,No
280,Male ,26-35,Pop,Premium,Card,Yes,Free,Android,4G,3.38,No
281,Male ,46+,Pop,Premium,Card,No,Free,Android,4G,4.14,No
282,Male ,26-35,Classical,Free,Card,Yes,Family,Android,4G,4.22,No
283,Male ,46+,Pop,Family,Auto-Debit,No,Family,Android,4G,1.73,No
284,Male ,46+,Pop,Free,Card,Yes,Family,Android,4G,1.32,Yes
285,Male ,36-45,Pop,Premium,Auto-Debit,Yes,Family,Android,5G,2.76,No
286,Male ,46+,HipHop,Free,UPI,No,Family,Android,5G,1.49,Yes
287,Male ,36-45,Classical,Family,Auto-Debit,No,Family,Android,WiFi,1.75,No
288,Male ,26-35,Pop,Free,Card,No,Family,Android,4G,0.35,No
289,Male ,36-45,Pop,Free,Wallet,Yes,Free,Android,WiFi,4.96,Yes
290,Male ,18-25,Jazz,Premium,UPI,No,Family,Web,4G,1.55,No
291,Male ,36-45,Jazz,Premium,UPI,No,Family,Web,4G,3.9,Yes
292,Female,46+,EDM,Premium,Auto-Debit,Yes,Family,Android,4G,4.97,Yes
293,Female,26-35,HipHop,Premium,Wallet,No,Premium,Web,4G,4.85,No
294,Female,46+,Pop,Family,Card,No,Family,Android,4G,3.17,No
295,Female,18-25,HipHop,Family,Auto-Debit,Yes,Free,Web,4G,2.69,Yes
296,Female,18-25,Classical,Free,Auto-Debit,No,Family,Android,4G,1.55,No
297,Male ,18-25,Classical,Family,UPI,No,Family,Android,5G,4.31,No
298,Male ,46+,Jazz,Free,Auto-Debit,No,Family,Web,5G,1.69,Yes
299,Male ,18-25,Rock,Premium,Wallet,No,Family,Android,WiFi,0.53,No
300,Male ,18-25,EDM,Free,Auto-Debit,Yes,Free,Android,4G,1.47,Yes
301,Male ,26-35,Rock,Free,Auto-Debit,No,Family,iOS,WiFi,1.58,Yes
302,Male ,26-35,HipHop,Family,Wallet,No,Free,Android,5G,3.59,No
303,Male ,36-45,EDM,Free,Auto-Debit,Yes,Premium,Android,4G,0.85,No
304,Male ,46+,Jazz,Family,Card,Yes,Premium,iOS,5G,1.58,No
305,Male ,18-25,Pop,Free,Auto-Debit,Yes,Free,Android,5G,0.38,No
306,Male ,36-45,Jazz,Family,Card,No,Premium,Android,WiFi,4.24,No
307,Male ,26-35,Jazz,Premium,Wallet,Yes,Family,iOS,4G,3.62,No
308,Male ,36-45,EDM,Family,Card,No,Family,Web,WiFi,2.19,No
309,Male ,26-35,EDM,Premium,Wallet,Yes,Family,Android,4G,2.15,No
310,Male ,26-35,Classical,Family,Card,No,Family,Web,4G,0.83,Yes
311,Male ,36-45,Rock,Premium,Card,No,Family,Android,4G,1.92,No
312,Male ,46+,Classical,Premium,Wallet,Yes,Family,Android,5G,4.53,Yes
313,Female,36-45,Classical,Family,Wallet,Yes,Family,Web,5G,0.69,Yes
314,Female,26-35,Rock,Premium,Card,Yes,Family,iOS,WiFi,3.83,No
315,Female,18-25,Rock,Free,Wallet,Yes,Family,iOS,WiFi,0.24,No
316,Female,46+,Rock,Free,UPI,No,Family,Android,WiFi,1.56,No
317,Female,46+,Rock,Premium,Auto-Debit,Yes,Premium,iOS,5G,4.23,No
318,Male ,18-25,Rock,Premium,Card,No,Free,Android,5G,2.22,Yes
319,Male ,46+,Pop,Premium,UPI,No,Free,Android,4G,3.51,Yes
320,Male ,18-25,Classical,Family,UPI,Yes,Premium,Web,4G,0.52,Yes
321,Male ,18-25,Rock,Free,UPI,No,Family,Web,WiFi,3.42,No
322,Male ,18-25,EDM,Premium,Wallet,Yes,Family,iOS,4G,4.1,No
323,Male ,46+,Classical,Premium,Auto-Debit,Yes,Family,Web,4G,4.03,No
324,Male ,18-25,EDM,Family,Card,Yes,Free,Android,5G,2.19,Yes
325,Male ,46+,EDM,Free,Auto-Debit,Yes,Family,iOS,5G,4.52,No
326,Male ,26-35,Jazz,Premium,Card,No,Family,Web,5G,2.87,No
327,Male ,46+,Pop,Free,Auto-Debit,Yes,Free,iOS,WiFi,4.09,No
328,Male ,46+,HipHop,Family,Auto-Debit,No,Free,iOS,5G,1.07,No
329,Male ,26-35,HipHop,Free,UPI,No,Free,Android,WiFi,1.05,No
330,Male ,46+,Rock,Premium,Wallet,Yes,Family,iOS,4G,3.77,Yes
331,Male ,26-35,HipHop,Free,Card,Yes,Family,Android,4G,3.23,No
332,Male ,18-25,Classical,Free,Card,No,Family,Android,4G,3.38,No
333,Male ,46+,Pop,Family,Card,No,Family,iOS,4G,1.18,Yes
